,0,1,2
0,@Hayder_Chef @tweepaya @hepta_0 هذا نفسه القميص؟ هههههه منه عرفناك بالهوسة ... بس الحمدالله ما كان اكو كورونا وقتها هههههه,DIAL_GLF,0.92646575
1,"#العدسات_الاصقه_تنقل_الكورونا

هه يوم بغيت ألبسهن 🤣",DIAL_GLF,0.94577646
2,@SaudiNews50 الله يلعن الصين ولا حد يستطيع يتفلسف يقول وش دخل الصين,DIAL_GLF,0.9679138
3,@ksz0a @kimmemo_ @SHE5WN6ON ماشفت الامارات قالوا انهم طلعوا علاج للكورونا ! هم اكبر من انهم يقولون كذا … الامارات ع… https://t.co/1uQWk9GETN,DIAL_GLF,0.9686356
4,بما انو اني عند فوبيا من الطلعة و صار اربع سنين مدري تلاثه مطالعه من البيت ف تعالوا انطيكم نصائح للتعايش و الاستمتاع مع الحجر المنزلي😂🏃‍♀️,DIAL_GLF,0.942273
5,الحين كورونا بيخلص ولا ماراح يخلص؟,DIAL_GLF,0.9873527
6,"@YehawBoiz مانجوز نطلع من الحمام وما نلف شعرنا 😅 ماشوفين شر 
كورونا سوت بينه دراما",DIAL_GLF,0.9823836
7,"وهذي الطائرة لي من الصين واش جاية تعمل عندنا؟ 🙄🤨

#كورونا",DIAL_GLF,0.93821
8,@sadoon72 كورونا اللي عندنا للحين مالقوا له علاج,DIAL_GLF,0.9627072
9,"أمريكا صارلها زي صاحبك الي ديما يكذب ويطلع روحه فاندام في المشاكل، لين يوم من الايام تشري مشكلة انت وياه في بوسليم ويطلع يفشك.

#كورونا",DIAL_GLF,0.9708803
10,#نبي_حظر مثل الصين والبقالات توصل الطلبات ينبع المسكينه ماندري من وصل لهم المرض,DIAL_GLF,0.9341403
11,@0Halaa هههههههه وش دخل الصين 😂,DIAL_GLF,0.9757193
12,الي صاير في الصين كنه ذا وكنج ديد https://t.co/xGuTQbEPrP,DIAL_GLF,0.95128405
13,فيه ناس ودي احجز لهم تذكره الصين محمول مكفول يغيرون جو,DIAL_GLF,0.9728917
14,"@AHMEDALFATLAWY5 @asraakareem17 اي هسه استورد دعم من الصين الشقيقة 😂💔
جاي نسوي الي بيدنا ومن الله التوفيق",DIAL_GLF,0.9568027
15,"هذا اخس من #فيروس_كورونا 
تدخله شي و تطلع منه شي ثاني ،، https://t.co/oWsiC2CSqU",DIAL_GLF,0.95479363
16,اخوي للحين ما استوعب ان فيه وباء اسمه كورونا 🙂,DIAL_GLF,0.94644094
17,@iNa9eir ابوك احمدربك احجروك الرجاجيل المصلحتك ي الدب الشديخ والله لويجي البعيد فيروس كورونا ان يقول ليت اللي جرى ماكان عالم مستهتر😡,DIAL_GLF,0.9404277
18,@Nrfmam84 بلكت الله ويه الكورونا يحصلون علاج لفايروس عقولهم!,DIAL_GLF,0.9107347
19,اوكيه بس شنو اعراض الكورونا الجديد؟,DIAL_GLF,0.91876256
